模型,MSE,MAE,R²
多元线性回归,4.275144746577309e-05,0.00503526541598053,0.9968748551208475
随机森林,0.0001734103206619542,0.010440360907710574,0.9873236484906677
XGBoost,0.00017186435482752905,0.010255743903560354,0.9874366591019379
LightGBM,0.00021764052866071965,0.01228712729896886,0.9840904057298967
