城市,年份,夜光亮度,GDP_估算,第二产业占比,第三产业占比,专利授权数,R&D经费,R&D人员全时当量,规上工业企业R&D经费,规上工业企业R&D人员全时当量,信息就业人数,万元GDP能耗变化率,第一产业贡献率,第二产业贡献率,第三产业贡献率,一般公共预算支出
东营市,2015,0.34544155507699154,0.12976171339829892,1.0,0.0,0.023403640566310314,0.0966620507680012,0.0672601601119909,0.2657640253636323,0.12196932211776348,0.02173913043478261,0.684880239520958,0.1408450704225352,1.0,0.0,0.08080183421166531
临沂市,2015,0.20158611610363447,0.05620185296955564,0.2720306513409962,0.5567765567765569,0.18262317929194213,0.16948371130401138,0.23251235837088235,0.39034665114829586,0.36470901686141666,0.03260869565217391,0.7380239520958084,0.3661971830985916,0.6366906474820143,0.34,0.4692958993009579
威海市,2015,0.4990994340006222,0.20833400936475469,0.13793103448275867,0.6483516483516485,0.07920186277342489,0.0540813346755328,0.0957500328098342,0.18478905509657642,0.1792714954516043,0.02173913043478261,0.17964071856287428,0.6338028169014084,0.27338129496402885,0.6680000000000001,0.11555807390656442
德州市,2015,0.10208380559918241,0.005321774153762136,0.37931034482758613,0.4065934065934067,0.0863402280877679,0.115046123806815,0.11717485454306838,0.3041914706200352,0.19491493167890991,0.03260869565217391,0.0,0.5492957746478874,0.5071942446043166,0.43200000000000016,0.23220140207860965
日照市,2015,0.30181970778887846,0.10745586927410256,0.36781609195402304,0.4542124542124542,0.0,0.09652583645383572,0.0,0.13815881526142731,0.0,0.01086956521739131,0.6511976047904191,0.6338028169014084,0.3920863309352518,0.5360000000000003,0.0
枣庄市,2015,0.12801255012764634,0.018580326226719162,0.19923371647509588,0.6153846153846153,0.018814691435661234,0.0,0.008475873835250886,0.0,0.013283599132188939,0.01086956521739131,0.7110778443113773,0.4084507042253521,0.3489208633093524,0.6480000000000001,0.025631758498507393
泰安市,2015,0.09167641558315436,0.0,0.32567049808429116,0.4322344322344322,0.059010486598568924,0.06837108180740147,0.13086749201627368,0.17616729630548295,0.15789974498534617,0.11956521739130434,0.6534431137724551,0.647887323943662,0.5071942446043166,0.4040000000000001,0.11523246196296141
济南市,2015,0.6410725562266226,0.28093135521492957,0.0,1.0,0.7762802318269116,0.5455519952208061,0.8870466774574566,0.6578878956707561,0.5942222053058273,1.0,0.815119760479042,0.0,0.1366906474820143,1.0,0.7694156731401032
济宁市,2015,0.12106197747156902,0.015026180772576319,0.1417624521072798,0.5897435897435899,0.1602563013070007,0.10554210032146275,0.25230762500546833,0.24124627145700966,0.35540288509115825,0.043478260869565216,0.4483532934131737,0.6338028169014084,0.0,0.9760000000000002,0.34398929624738117
淄博市,2015,0.2116692169022607,0.0613578032257935,0.5172413793103448,0.4761904761904762,0.15316892431633156,0.1523085592853441,0.22470361783105122,0.3079462485610527,0.3100711757317398,0.13043478260869565,0.3046407185628743,0.05633802816901413,0.7374100719424461,0.3160000000000002,0.18482062027327723
滨州市,2015,0.2767719639602672,0.09464781312247661,0.46360153256704983,0.3406593406593406,0.04599146795383857,0.11577168901649469,0.12904107791241962,0.2994345970629575,0.22403227648155902,0.01086956521739131,0.81062874251497,0.4929577464788732,0.81294964028777,0.10800000000000011,0.17944955675405477
潍坊市,2015,0.14940996004181173,0.029521799820318415,0.3448275862068965,0.47985347985348,0.32635926372860613,0.2438817829831117,0.4769893696137189,0.6404726584114022,0.7661096943630343,0.11956521739130434,0.6818862275449101,0.5211267605633803,0.46043165467625896,0.49200000000000016,0.41620203661176414
烟台市,2015,0.5691480414010721,0.24415306369025203,0.3524904214559388,0.5531135531135533,0.25849380491867363,0.3208929827761024,0.4423421846974933,0.6777898882550101,0.6544932059528794,0.07608695652173914,0.6833832335329341,0.30985915492957744,0.5179856115107914,0.4880000000000001,0.48969925011533727
聊城市,2015,0.24646272877907113,0.07914931598158179,0.3065134099616858,0.3296703296703297,0.0686302836650407,0.11199064084658791,0.04567128920775187,0.2151711154783029,0.07956837818292543,0.0,0.5606287425149701,1.0,0.5611510791366907,0.24,0.18409079302093417
菏泽市,2015,0.15103050657483993,0.030350459324877874,0.38314176245210724,0.4175824175824176,0.03711949963458368,1.0,0.05427840237980664,0.11121591841407338,0.11671678148669737,0.01086956521739131,0.7320359281437125,0.32394366197183094,0.5683453237410071,0.43200000000000016,0.2799119328467628
青岛市,2015,0.9190330559108785,0.42306526205500716,0.030651340996168744,0.9816849816849816,1.0,0.6398399383102531,1.0,1.0,1.0,0.36956521739130443,1.0,0.0,0.3057553956834533,0.8120000000000002,1.0
东营市,2016,0.4667874542801676,0.18555508399095652,1.0,0.0,0.023403640566310314,0.0966620507680012,0.0672601601119909,0.2657640253636323,0.12196932211776348,0.02173913043478261,0.684880239520958,0.1408450704225352,1.0,0.0,0.08080183421166531
临沂市,2016,0.23858162373095357,0.07005404685681457,0.2720306513409962,0.5567765567765569,0.18262317929194213,0.16948371130401138,0.23251235837088235,0.39034665114829586,0.36470901686141666,0.03260869565217391,0.7380239520958084,0.3661971830985916,0.6366906474820143,0.34,0.4692958993009579
威海市,2016,0.662866838121658,0.28479607244340377,0.13793103448275867,0.6483516483516485,0.07920186277342489,0.0540813346755328,0.0957500328098342,0.18478905509657642,0.1792714954516043,0.02173913043478261,0.17964071856287428,0.6338028169014084,0.27338129496402885,0.6680000000000001,0.11555807390656442
德州市,2016,0.15878117629279292,0.02966491910887815,0.37931034482758613,0.4065934065934067,0.0863402280877679,0.115046123806815,0.11717485454306838,0.3041914706200352,0.19491493167890991,0.03260869565217391,0.0,0.5492957746478874,0.5071942446043166,0.43200000000000016,0.23220140207860965
日照市,2016,0.33623776831446883,0.1194804175799993,0.36781609195402304,0.4542124542124542,0.0,0.09652583645383572,0.0,0.13815881526142731,0.0,0.01086956521739131,0.6511976047904191,0.6338028169014084,0.3920863309352518,0.5360000000000003,0.0
枣庄市,2016,0.1890915921386177,0.0450058262966325,0.19923371647509588,0.6153846153846153,0.018814691435661234,0.0,0.008475873835250886,0.0,0.013283599132188939,0.01086956521739131,0.7110778443113773,0.4084507042253521,0.3489208633093524,0.6480000000000001,0.025631758498507393
泰安市,2016,0.22224167507749723,0.0617839644857779,0.32567049808429116,0.4322344322344322,0.059010486598568924,0.06837108180740147,0.13086749201627368,0.17616729630548295,0.15789974498534617,0.11956521739130434,0.6534431137724551,0.647887323943662,0.5071942446043166,0.4040000000000001,0.11523246196296141
济南市,2016,0.7595041253546496,0.33370677237766067,0.0,1.0,0.7762802318269116,0.5455519952208061,0.8870466774574566,0.6578878956707561,0.5942222053058273,1.0,0.815119760479042,0.0,0.1366906474820143,1.0,0.7694156731401032
济宁市,2016,0.15245146456386824,0.026461283742982948,0.1417624521072798,0.5897435897435899,0.1602563013070007,0.10554210032146275,0.25230762500546833,0.24124627145700966,0.35540288509115825,0.043478260869565216,0.4483532934131737,0.6338028169014084,0.0,0.9760000000000002,0.34398929624738117
淄博市,2016,0.2853451633680011,0.09372231736131309,0.5172413793103448,0.4761904761904762,0.15316892431633156,0.1523085592853441,0.22470361783105122,0.3079462485610527,0.3100711757317398,0.13043478260869565,0.3046407185628743,0.05633802816901413,0.7374100719424461,0.3160000000000002,0.18482062027327723
滨州市,2016,0.34151432719657526,0.12215102429463023,0.46360153256704983,0.3406593406593406,0.04599146795383857,0.11577168901649469,0.12904107791241962,0.2994345970629575,0.22403227648155902,0.01086956521739131,0.81062874251497,0.4929577464788732,0.81294964028777,0.10800000000000011,0.17944955675405477
潍坊市,2016,0.2348323950985089,0.06815646258187205,0.3448275862068965,0.47985347985348,0.32635926372860613,0.2438817829831117,0.4769893696137189,0.6404726584114022,0.7661096943630343,0.11956521739130434,0.6818862275449101,0.5211267605633803,0.46043165467625896,0.49200000000000016,0.41620203661176414
烟台市,2016,0.5971357525938623,0.25152782275783697,0.3524904214559388,0.5531135531135533,0.25849380491867363,0.3208929827761024,0.4423421846974933,0.6777898882550101,0.6544932059528794,0.07608695652173914,0.6833832335329341,0.30985915492957744,0.5179856115107914,0.4880000000000001,0.48969925011533727
聊城市,2016,0.3085358904055361,0.10545976078369931,0.3065134099616858,0.3296703296703297,0.0686302836650407,0.11199064084658791,0.04567128920775187,0.2151711154783029,0.07956837818292543,0.0,0.5606287425149701,1.0,0.5611510791366907,0.24,0.18409079302093417
菏泽市,2016,0.23580233920022328,0.06864737707533851,0.38314176245210724,0.4175824175824176,0.03711949963458368,1.0,0.05427840237980664,0.11121591841407338,0.11671678148669737,0.01086956521739131,0.7320359281437125,0.32394366197183094,0.5683453237410071,0.43200000000000016,0.2799119328467628
青岛市,2016,1.0,0.4554281275295841,0.030651340996168744,0.9816849816849816,1.0,0.6398399383102531,1.0,1.0,1.0,0.36956521739130443,1.0,0.0,0.3057553956834533,0.8120000000000002,1.0
东营市,2017,0.3199044538717699,0.20549946856892196,1.0,0.0,0.023403640566310314,0.0966620507680012,0.0672601601119909,0.2657640253636323,0.12196932211776348,0.02173913043478261,0.684880239520958,0.1408450704225352,1.0,0.0,0.08080183421166531
临沂市,2017,0.1588014724799444,0.10952001827757146,0.2720306513409962,0.5567765567765569,0.18262317929194213,0.16948371130401138,0.23251235837088235,0.39034665114829586,0.36470901686141666,0.03260869565217391,0.7380239520958084,0.3661971830985916,0.6366906474820143,0.34,0.4692958993009579
威海市,2017,0.6100903422083328,0.37838194289825006,0.13793103448275867,0.6483516483516485,0.07920186277342489,0.0540813346755328,0.0957500328098342,0.18478905509657642,0.1792714954516043,0.02173913043478261,0.17964071856287428,0.6338028169014084,0.27338129496402885,0.6680000000000001,0.11555807390656442
德州市,2017,0.1145955335344743,0.0831836855607984,0.37931034482758613,0.4065934065934067,0.0863402280877679,0.115046123806815,0.11717485454306838,0.3041914706200352,0.19491493167890991,0.03260869565217391,0.0,0.5492957746478874,0.5071942446043166,0.43200000000000016,0.23220140207860965
日照市,2017,0.18768187857460336,0.12672594132883153,0.36781609195402304,0.4542124542124542,0.0,0.09652583645383572,0.0,0.13815881526142731,0.0,0.01086956521739131,0.6511976047904191,0.6338028169014084,0.3920863309352518,0.5360000000000003,0.0
枣庄市,2017,0.05427087999769628,0.04724439359081188,0.19923371647509588,0.6153846153846153,0.018814691435661234,0.0,0.008475873835250886,0.0,0.013283599132188939,0.01086956521739131,0.7110778443113773,0.4084507042253521,0.3489208633093524,0.6480000000000001,0.025631758498507393
泰安市,2017,0.2160954723648005,0.14365375414287315,0.32567049808429116,0.4322344322344322,0.059010486598568924,0.06837108180740147,0.13086749201627368,0.17616729630548295,0.15789974498534617,0.11956521739130434,0.6534431137724551,0.647887323943662,0.5071942446043166,0.4040000000000001,0.11523246196296141
济南市,2017,0.6890856888154843,0.42544457251209156,0.0,1.0,0.7762802318269116,0.5455519952208061,0.8870466774574566,0.6578878956707561,0.5942222053058273,1.0,0.815119760479042,0.0,0.1366906474820143,1.0,0.7694156731401032
济宁市,2017,0.08362765615807721,0.06473412105492792,0.1417624521072798,0.5897435897435899,0.1602563013070007,0.10554210032146275,0.25230762500546833,0.24124627145700966,0.35540288509115825,0.043478260869565216,0.4483532934131737,0.6338028169014084,0.0,0.9760000000000002,0.34398929624738117
淄博市,2017,0.2638079290287869,0.17207914592082862,0.5172413793103448,0.4761904761904762,0.15316892431633156,0.1523085592853441,0.22470361783105122,0.3079462485610527,0.3100711757317398,0.13043478260869565,0.3046407185628743,0.05633802816901413,0.7374100719424461,0.3160000000000002,0.18482062027327723
滨州市,2017,0.2030370967074528,0.13587403643397555,0.46360153256704983,0.3406593406593406,0.04599146795383857,0.11577168901649469,0.12904107791241962,0.2994345970629575,0.22403227648155902,0.01086956521739131,0.81062874251497,0.4929577464788732,0.81294964028777,0.10800000000000011,0.17944955675405477
潍坊市,2017,0.1263651856409577,0.09019562742271377,0.3448275862068965,0.47985347985348,0.32635926372860613,0.2438817829831117,0.4769893696137189,0.6404726584114022,0.7661096943630343,0.11956521739130434,0.6818862275449101,0.5211267605633803,0.46043165467625896,0.49200000000000016,0.41620203661176414
烟台市,2017,0.4860208183782482,0.30446571495359864,0.3524904214559388,0.5531135531135533,0.25849380491867363,0.3208929827761024,0.4423421846974933,0.6777898882550101,0.6544932059528794,0.07608695652173914,0.6833832335329341,0.30985915492957744,0.5179856115107914,0.4880000000000001,0.48969925011533727
聊城市,2017,0.17120474793597232,0.1169094504891728,0.3065134099616858,0.3296703296703297,0.0686302836650407,0.11199064084658791,0.04567128920775187,0.2151711154783029,0.07956837818292543,0.0,0.5606287425149701,1.0,0.5611510791366907,0.24,0.18409079302093417
菏泽市,2017,0.11029527185421327,0.08062174196040912,0.38314176245210724,0.4175824175824176,0.03711949963458368,1.0,0.05427840237980664,0.11121591841407338,0.11671678148669737,0.01086956521739131,0.7320359281437125,0.32394366197183094,0.5683453237410071,0.43200000000000016,0.2799119328467628
青岛市,2017,0.7855943398263134,0.4829410085951123,0.030651340996168744,0.9816849816849816,1.0,0.6398399383102531,1.0,1.0,1.0,0.36956521739130443,1.0,0.0,0.3057553956834533,0.8120000000000002,1.0
东营市,2018,0.42975169161129967,0.27564084115240267,1.0,0.0,0.023403640566310314,0.0966620507680012,0.0672601601119909,0.2657640253636323,0.12196932211776348,0.02173913043478261,0.684880239520958,0.1408450704225352,1.0,0.0,0.08080183421166531
临沂市,2018,0.16854808386002265,0.11896859177670548,0.2720306513409962,0.5567765567765569,0.18262317929194213,0.16948371130401138,0.23251235837088235,0.39034665114829586,0.36470901686141666,0.03260869565217391,0.7380239520958084,0.3661971830985916,0.6366906474820143,0.34,0.4692958993009579
威海市,2018,0.6559101372539485,0.4112926902948726,0.13793103448275867,0.6483516483516485,0.07920186277342489,0.0540813346755328,0.0957500328098342,0.18478905509657642,0.1792714954516043,0.02173913043478261,0.17964071856287428,0.6338028169014084,0.27338129496402885,0.6680000000000001,0.11555807390656442
德州市,2018,0.2395451585104095,0.16155326922557975,0.37931034482758613,0.4065934065934067,0.0863402280877679,0.115046123806815,0.11717485454306838,0.3041914706200352,0.19491493167890991,0.03260869565217391,0.0,0.5492957746478874,0.5071942446043166,0.43200000000000016,0.23220140207860965
日照市,2018,0.2275776045236776,0.15437502379946078,0.36781609195402304,0.4542124542124542,0.0,0.09652583645383572,0.0,0.13815881526142731,0.0,0.01086956521739131,0.6511976047904191,0.6338028169014084,0.3920863309352518,0.5360000000000003,0.0
枣庄市,2018,0.08408564158890029,0.06830726694928456,0.19923371647509588,0.6153846153846153,0.018814691435661234,0.0,0.008475873835250886,0.0,0.013283599132188939,0.01086956521739131,0.7110778443113773,0.4084507042253521,0.3489208633093524,0.6480000000000001,0.025631758498507393
泰安市,2018,0.31775305803382636,0.20846306362991196,0.32567049808429116,0.4322344322344322,0.059010486598568924,0.06837108180740147,0.13086749201627368,0.17616729630548295,0.15789974498534617,0.11956521739130434,0.6534431137724551,0.647887323943662,0.5071942446043166,0.4040000000000001,0.11523246196296141
济南市,2018,0.7692254930005705,0.479260249496948,0.0,1.0,0.7762802318269116,0.5455519952208061,0.8870466774574566,0.6578878956707561,0.5942222053058273,1.0,0.815119760479042,0.0,0.1366906474820143,1.0,0.7694156731401032
济宁市,2018,0.11247607186356853,0.08533609978267948,0.1417624521072798,0.5897435897435899,0.1602563013070007,0.10554210032146275,0.25230762500546833,0.24124627145700966,0.35540288509115825,0.043478260869565216,0.4483532934131737,0.6338028169014084,0.0,0.9760000000000002,0.34398929624738117
