城市,年份,夜光亮度,GDP_估算,第二产业占比,第三产业占比,专利授权数,R&D经费,R&D人员全时当量,规上工业企业R&D经费,规上工业企业R&D人员全时当量,信息就业人数,万元GDP能耗变化率,第一产业贡献率,第二产业贡献率,第三产业贡献率,一般公共预算支出
东营市,2017,4.46053409576416,4129.420277805621,59.5,36.0,6930,1096384.0,19256.0,1046591.0,17078.0,0.5,-6.29,3.3,60.9,35.8,4317297
临沂市,2017,3.77735209465027,3496.9521589069095,40.5,51.2,16298,1575930.0,34366.0,1360007.0,29833.0,0.6,-5.58,4.9,50.8,44.3,9763889
威海市,2017,5.69111204147339,5268.650112918342,37.0,53.7,10213,815981.0,21861.0,842880.0,20089.0,0.5,-13.04,6.8,40.7,52.5,4804571
德州市,2017,3.58989000320435,3323.4057303588693,43.3,47.1,10633,1217447.0,23820.0,1143264.0,20911.0,0.6,-15.44,6.2,47.2,46.6,6439882
日照市,2017,3.89982390403748,3610.3326560144983,43.0,48.4,5553,1095487.0,13106.0,725571.0,10669.0,0.4,-6.74,6.8,44.0,49.2,3184475
枣庄市,2017,3.33407402038574,3086.579448088972,38.6,52.8,6660,459844.0,13881.0,378001.0,11367.0,0.4,-5.94,5.2,42.8,52.0,3543826
泰安市,2017,4.0203161239624,3721.880512301098,41.9,47.8,9025,910082.0,25072.0,821190.0,18966.0,1.4,-6.71,6.9,47.2,45.9,4800006
济南市,2017,6.02610397338867,5578.774964977174,33.4,63.3,51227,4052419.0,94214.0,2033068.0,41893.0,9.5,-4.55,2.3,36.9,60.8,13971495
济宁市,2017,3.45856595039368,3201.8301084720256,37.1,52.1,14982,1154861.0,36176.0,984911.0,29344.0,0.7,-9.45,6.8,33.1,60.2,8007121
淄博市,2017,4.22264814376831,3909.19304651742,46.9,49.0,14565,1462828.0,33652.0,1152710.0,26962.0,1.5,-11.37,2.7,53.6,43.7,5775615
滨州市,2017,3.96494007110596,3670.61512778417,45.5,45.3,8259,1222225.0,24905.0,1131297.0,22441.0,0.4,-4.61,5.8,55.7,38.5,5700314
潍坊市,2017,3.63980102539062,3369.611763689656,42.4,49.1,24755,2065857.0,56720.0,1989256.0,50925.0,1.4,-6.33,6.0,45.9,48.1,9019526
烟台市,2017,5.16497611999512,4781.570248402229,42.6,51.1,20762,2572992.0,53552.0,2083136.0,45060.0,1.0,-6.31,4.5,47.5,48.0,10049939
聊城市,2017,3.82995009422302,3545.645710249558,41.4,45.0,9591,1197326.0,17282.0,919313.0,14850.0,0.3,-7.95,9.4,48.7,41.8,5765383
菏泽市,2017,3.5716540813446,3306.5234952059886,43.4,47.4,7737,7045055.0,18069.0,657790.0,16802.0,0.4,-5.66,4.6,48.9,46.6,7108772
青岛市,2017,6.43536376953125,5957.654638307468,34.2,62.8,64390,4673325.0,104542.0,2893729.0,63215.0,3.7,-2.08,2.3,41.6,56.1,17204231
东营市,2018,4.92635822296143,4591.625279399024,59.5,36.0,6930,1096384.0,19256.0,1046591.0,17078.0,0.5,-6.29,3.3,60.9,35.8,4317297
临沂市,2018,3.81868410110474,3559.214669153981,40.5,51.2,16298,1575930.0,34366.0,1360007.0,29833.0,0.6,-5.58,4.9,50.8,44.3,9763889
威海市,2018,5.88541793823242,5485.519436865369,37.0,53.7,10213,815981.0,21861.0,842880.0,20089.0,0.5,-13.04,6.8,40.7,52.5,4804571
德州市,2018,4.11975812911987,3839.831517429732,43.3,47.1,10633,1217447.0,23820.0,1143264.0,20911.0,0.6,-15.44,6.2,47.2,46.6,6439882
日照市,2018,4.06900787353516,3792.529606782512,43.0,48.4,5553,1095487.0,13106.0,725571.0,10669.0,0.4,-6.74,6.8,44.0,49.2,3184475
枣庄市,2018,3.46050810813904,3225.3757826292995,38.6,52.8,6660,459844.0,13881.0,378001.0,11367.0,0.4,-5.94,5.2,42.8,52.0,3543826
泰安市,2018,4.45141077041626,4148.94924351351,41.9,47.8,9025,910082.0,25072.0,821190.0,18966.0,1.4,-6.71,6.9,47.2,45.9,4800006
济南市,2018,6.36594915390015,5933.399834014793,33.4,63.3,51227,4052419.0,94214.0,2033068.0,41893.0,9.5,-4.55,2.3,36.9,60.8,13971495
济宁市,2018,3.58090209960937,3337.5893224702177,37.1,52.1,14982,1154861.0,36176.0,984911.0,29344.0,0.7,-9.45,6.8,33.1,60.2,8007121
淄博市,2018,4.46314096450806,4159.88240210379,46.9,49.0,14565,1462828.0,33652.0,1152710.0,26962.0,1.5,-11.37,2.7,53.6,43.7,5775615
滨州市,2018,4.00354814529419,3731.517693038013,45.5,45.3,8259,1222225.0,24905.0,1131297.0,22441.0,0.4,-4.61,5.8,55.7,38.5,5700314
潍坊市,2018,4.01781320571899,3744.8134805334034,42.4,49.1,24755,2065857.0,56720.0,1989256.0,50925.0,1.4,-6.33,6.0,45.9,48.1,9019526
烟台市,2018,5.31971597671509,4958.255419603723,42.6,51.1,20762,2572992.0,53552.0,2083136.0,45060.0,1.0,-6.31,4.5,47.5,48.0,10049939
聊城市,2018,4.0677080154419,3791.318070590762,41.4,45.0,9591,1197326.0,17282.0,919313.0,14850.0,0.3,-7.95,9.4,48.7,41.8,5765383
菏泽市,2018,3.63309907913208,3386.239656010249,43.4,47.4,7737,7045055.0,18069.0,657790.0,16802.0,0.4,-5.66,4.6,48.9,46.6,7108772
青岛市,2018,6.62874412536621,6178.338585861615,34.2,62.8,64390,4673325.0,104542.0,2893729.0,63215.0,3.7,-2.08,2.3,41.6,56.1,17204231
东营市,2019,4.74444723129272,4692.741225243309,59.5,36.0,6930,1096384.0,19256.0,1046591.0,17078.0,0.5,-6.29,3.3,60.9,35.8,4317297
临沂市,2019,3.59931111335754,3560.085046941733,40.5,51.2,16298,1575930.0,34366.0,1360007.0,29833.0,0.6,-5.58,4.9,50.8,44.3,9763889
威海市,2019,5.96220922470093,5897.231786611425,37.0,53.7,10213,815981.0,21861.0,842880.0,20089.0,0.5,-13.04,6.8,40.7,52.5,4804571
德州市,2019,4.36359786987305,4316.042442052351,43.3,47.1,10633,1217447.0,23820.0,1143264.0,20911.0,0.6,-15.44,6.2,47.2,46.6,6439882
日照市,2019,3.81028604507446,3768.7607284902288,43.0,48.4,5553,1095487.0,13106.0,725571.0,10669.0,0.4,-6.74,6.8,44.0,49.2,3184475
枣庄市,2019,3.42329692840576,3385.989102423079,38.6,52.8,6660,459844.0,13881.0,378001.0,11367.0,0.4,-5.94,5.2,42.8,52.0,3543826
泰安市,2019,4.784912109375,4732.76510838373,41.9,47.8,9025,910082.0,25072.0,821190.0,18966.0,1.4,-6.71,6.9,47.2,45.9,4800006
济南市,2019,6.55245208740234,6481.042055684611,33.4,63.3,51227,4052419.0,94214.0,2033068.0,41893.0,9.5,-4.55,2.3,36.9,60.8,13971495
济宁市,2019,3.59064197540283,3551.5103871164397,37.1,52.1,14982,1154861.0,36176.0,984911.0,29344.0,0.7,-9.45,6.8,33.1,60.2,8007121
淄博市,2019,4.80993223190308,4757.512556236822,46.9,49.0,14565,1462828.0,33652.0,1152710.0,26962.0,1.5,-11.37,2.7,53.6,43.7,5775615
滨州市,2019,3.88121390342712,3838.915599792076,45.5,45.3,8259,1222225.0,24905.0,1131297.0,22441.0,0.4,-4.61,5.8,55.7,38.5,5700314
潍坊市,2019,3.88464903831482,3842.3132978411672,42.4,49.1,24755,2065857.0,56720.0,1989256.0,50925.0,1.4,-6.33,6.0,45.9,48.1,9019526
烟台市,2019,5.15636396408081,5100.168800909591,42.6,51.1,20762,2572992.0,53552.0,2083136.0,45060.0,1.0,-6.31,4.5,47.5,48.0,10049939
聊城市,2019,4.00566720962524,3962.01258710004,41.4,45.0,9591,1197326.0,17282.0,919313.0,14850.0,0.3,-7.95,9.4,48.7,41.8,5765383
